Matt,Ryan,QB,77,281.4,15,18.8
Matt,Breida,RB,92,84.3,13,6.5
Melvin,Gordon,RB,57,138.8,12,11.6
Michael,Thomas,WR,15,225.6,16,14.1
Mike,Evans,WR,19,165.7,13,12.8
Mike,Williams,WR,61,112.3,15,7.5
Miles,Sanders,RB,68,168.7,16,10.5
Nick,Chubb,RB,18,219.2,16,13.7
O.J.,Howard,TE,63,49.9,14,3.6
Odell,Beckham,WR,10,127.3,16,8
Patrick,Mahomes,QB,29,291.9,14,20.9
Phillip,Lindsay,RB,71,162.7,16,10.2
Rashaad,Penny,RB,89,67.3,10,6.7
Robby,Anderson,WR,55,110.3,16,6.9
Robert,Woods,WR,34,142.9,15,9.5
Royce,Freeman,RB,86,99.2,16,6.2
Sammy,Watkins,WR,79,86.5,14,6.2
Saquon,Barkley,RB,1,192.1,13,14.8
Sony,Michel,RB,36,140.6,16,8.8
Stefon,Diggs,WR,41,149.1,15,9.9
Sterling,Shepard,WR,78,84.8,10,8.5
T.Y.,Hilton,WR,45,80.1,10,8
Tevin,Coleman,RB,54,114.4,14,8.2
Todd,Gurley,RB,8,188.4,15,12.6
Travis,Kelce,TE,17,157.3,16,9.8
Tyler,Lockett,WR,48,153.2,16,9.6
Tyler,Boyd,WR,52,132.9,16,8.3
Tyreek,Hill,WR,16,130.3,12,10.9
Tyrell,Williams,WR,81,101.1,14,7.2
Vance,McDonald,TE,70,45.5,14,3.3
Will,Fuller,WR,73,85,11,7.7
Zach,Ertz,TE,33,127.6,15,8.5
