TD,70,20,56,8,32,44,40
DK,87,2,21,19,35,138,39
JJ,60,4,10,51,49,17,52
BB,114,11,9,31,24,89,41
JD,163,3,6,13,36,72,48
MZ,26,1,14,25,53,59,12
JL,27,37,34,74,79,47,71
CR,100,5,33,15,28,126,42
PH,65,7,23,16,29,18,66
DI,68,38,55,30,22,99,94
